id;user_id;book_id;chapter_id;lesson_id;completed;score;xp_earned;completed_at;created_at
980f4270-300f-495d-9081-101188fcd5f8;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;4;genesis-4;true;3;35;2026-01-14 18:42:35.374+00;2026-01-14 18:42:35.799833+00
64956c76-a272-4d06-9ba9-909aa84c98b8;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;5;genesis-5;true;1;15;2026-01-14 18:43:55.327+00;2026-01-14 18:43:55.442535+00
46a337e3-82b8-4bdc-808c-0cc9ad68b41a;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;6;genesis-6;true;4;45;2026-01-15 10:39:31.378+00;2026-01-15 10:39:32.947385+00
55be0cad-1223-459c-9ba8-a65bfc9fda47;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;7;genesis-7;true;4;50;2026-01-15 10:40:06.623+00;2026-01-15 10:40:08.156958+00
47207f51-2634-4c00-865f-ff2528e48d86;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;8;genesis-8;true;4;45;2026-01-15 10:48:20.231+00;2026-01-15 10:48:21.783716+00
323ed573-285b-43a7-8fb3-cc4b835d7071;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;9;genesis-9;true;2;25;2026-01-15 10:53:30.874+00;2026-01-15 10:53:32.443563+00
649c15ca-5354-4993-b094-d074ef24e947;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;11;genesis-11;true;4;58;2026-01-15 10:54:01.477+00;2026-01-15 10:54:03.047353+00
dc052107-718a-4610-aa59-3b053c393cd7;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;12;genesis-12;true;5;68;2026-01-15 10:54:34.6+00;2026-01-15 10:54:36.193576+00
d94749b6-aedf-4177-ad86-cac247ef5b68;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;14;genesis-14;true;0;0;2026-01-15 10:55:02.39+00;2026-01-15 10:55:03.963519+00
503eefe3-cd3b-4f33-a640-db5f60f68353;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;15;genesis-15;true;0;0;2026-01-15 10:55:10.406+00;2026-01-15 10:55:11.976649+00
